species,speccode,class,order,family
Lutjanus quinquelineatus,172,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus rivulatus,173,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus russellii,176,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus sanguineus,177,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus sebae,178,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus vitta,184,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus xanthopinnis,68664,Teleostei,Eupercaria/misc,Lutjanidae
Macolor macularis,186,Teleostei,Eupercaria/misc,Lutjanidae
Macolor niger,187,Teleostei,Eupercaria/misc,Lutjanidae
Paracaesio kusakarii,191,Teleostei,Eupercaria/misc,Lutjanidae
Paracaesio sordida,192,Teleostei,Eupercaria/misc,Lutjanidae
Paracaesio xanthurus,194,Teleostei,Eupercaria/misc,Lutjanidae
Pinjalo lewisi,8430,Teleostei,Eupercaria/misc,Lutjanidae
Pinjalo pinjalo,196,Teleostei,Eupercaria/misc,Lutjanidae
Pristipomoides filamentosus,201,Teleostei,Eupercaria/misc,Lutjanidae
Pristipomoides multidens,208,Teleostei,Eupercaria/misc,Lutjanidae
Pristipomoides sieboldii,209,Teleostei,Eupercaria/misc,Lutjanidae
Pristipomoides typus,210,Teleostei,Eupercaria/misc,Lutjanidae
Pristipomoides zonatus,211,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio chrysozona,932,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio digramma,933,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio marri,935,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio pisang,936,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio randalli,937,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio tessellata,938,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio tile,939,Teleostei,Eupercaria/misc,Lutjanidae
Pterocaesio trilineata,1886,Teleostei,Eupercaria/misc,Lutjanidae
Symphorichthys spilurus,214,Teleostei,Eupercaria/misc,Lutjanidae
Symphorus nematophorus,215,Teleostei,Eupercaria/misc,Lutjanidae
Coelorinchus commutabilis,52159,Teleostei,Gadiformes,Macrouridae
Malacocephalus laevis,4989,Teleostei,Gadiformes,Macrouridae
Nezumia evides,58862,Teleostei,Gadiformes,Macrouridae
Nezumia infranudis,52382,Teleostei,Gadiformes,Macrouridae
Ventrifossa petersonii,8694,Teleostei,Gadiformes,Macrouridae
Macrognathus aculeatus,5152,Teleostei,Synbranchiformes,Mastacembelidae
Macrognathus circumcinctus,55327,Teleostei,Synbranchiformes,Mastacembelidae
Macrognathus keithi,25156,Teleostei,Synbranchiformes,Mastacembelidae
Macrognathus maculatus,25157,Teleostei,Synbranchiformes,Mastacembelidae
Mastacembelus armatus,10140,Teleostei,Synbranchiformes,Mastacembelidae
Mastacembelus erythrotaenia,12026,Teleostei,Synbranchiformes,Mastacembelidae
Mastacembelus notophthalmus,25158,Teleostei,Synbranchiformes,Mastacembelidae
Mastacembelus unicolor,25160,Teleostei,Synbranchiformes,Mastacembelidae
Megalops cyprinoides,227,Teleostei,Elopiformes,Megalopidae
Mene maculata,390,Teleostei,Carangaria/misc,Menidae
Parioglossus raoi,15881,Teleostei,Gobiiformes,Microdesmidae
Ptereleotris microlepis,4381,Teleostei,Gobiiformes,Microdesmidae
Mobula eregoodoo,25622,Elasmobranchii,Myliobatiformes,Mobulidae
Mobula kuhlii,27177,Elasmobranchii,Myliobatiformes,Mobulidae
Mobula mobular,7618,Elasmobranchii,Myliobatiformes,Mobulidae
Masturus lanceolatus,10207,Teleostei,Tetraodontiformes,Molidae
Mola mola,1732,Teleostei,Tetraodontiformes,Molidae
Acreichthys tomentosus,7849,Teleostei,Tetraodontiformes,Monacanthidae
Aluterus monoceros,4274,Teleostei,Tetraodontiformes,Monacanthidae
Aluterus scriptus,4275,Teleostei,Tetraodontiformes,Monacanthidae
Anacanthus barbatus,8178,Teleostei,Tetraodontiformes,Monacanthidae
Chaetodermis penicilligerus,7975,Teleostei,Tetraodontiformes,Monacanthidae
Monacanthus chinensis,7976,Teleostei,Tetraodontiformes,Monacanthidae
Paramonacanthus choirocephalus,26659,Teleostei,Tetraodontiformes,Monacanthidae
Paramonacanthus japonicus,7977,Teleostei,Tetraodontiformes,Monacanthidae
Paramonacanthus sulcatus,54598,Teleostei,Tetraodontiformes,Monacanthidae
Pervagor nigrolineatus,4371,Teleostei,Tetraodontiformes,Monacanthidae
Pseudomonacanthus macrurus,10598,Teleostei,Tetraodontiformes,Monacanthidae
Rudarius excelsus,7988,Teleostei,Tetraodontiformes,Monacanthidae
Rudarius minutus,7989,Teleostei,Tetraodontiformes,Monacanthidae
Thamnaconus modestus,6611,Teleostei,Tetraodontiformes,Monacanthidae
Thamnaconus tessellatus,8302,Teleostei,Tetraodontiformes,Monacanthidae
Monocentris japonica,8183,Teleostei,Trachichthyiformes,Monocentridae
Monodactylus argenteus,5807,Teleostei,Eupercaria/misc,Monodactylidae
Ellochelon vaigiensis,5656,Teleostei,Mugiliformes,Mugilidae
Moolgarda seheli,5659,Teleostei,Mugiliformes,Mugilidae
Mugil cephalus,785,Teleostei,Mugiliformes,Mugilidae
Osteomugil cunnesius,4700,Teleostei,Mugiliformes,Mugilidae
Osteomugil speigleri,8320,Teleostei,Mugiliformes,Mugilidae
Paramugil parmatus,15785,Teleostei,Mugiliformes,Mugilidae
Planiliza melinoptera,5655,Teleostei,Mugiliformes,Mugilidae
Planiliza planiceps,4820,Teleostei,Mugiliformes,Mugilidae
Planiliza subviridis,4819,Teleostei,Mugiliformes,Mugilidae
Mulloidichthys flavolineatus,5983,Teleostei,Mulliformes,Mullidae
Parupeneus barberinus,5987,Teleostei,Mulliformes,Mullidae
Parupeneus crassilabris,60947,Teleostei,Mulliformes,Mullidae
Parupeneus cyclostomus,5990,Teleostei,Mulliformes,Mullidae
Parupeneus heptacantha,5991,Teleostei,Mulliformes,Mullidae
Parupeneus indicus,5992,Teleostei,Mulliformes,Mullidae
Parupeneus pleurostigma,5994,Teleostei,Mulliformes,Mullidae
Upeneus guttatus,62425,Teleostei,Mulliformes,Mullidae
Upeneus japonicus,7879,Teleostei,Mulliformes,Mullidae
Upeneus moluccensis,4444,Teleostei,Mulliformes,Mullidae
Upeneus sulphureus,4445,Teleostei,Mulliformes,Mullidae
Upeneus sundaicus,6643,Teleostei,Mulliformes,Mullidae
Upeneus taeniopterus,5995,Teleostei,Mulliformes,Mullidae
Upeneus tragula,5443,Teleostei,Mulliformes,Mullidae
Upeneus vittatus,4821,Teleostei,Mulliformes,Mullidae
Congresox talabon,11701,Teleostei,Anguilliformes,Muraenesocidae
Muraenesox bagio,5514,Teleostei,Anguilliformes,Muraenesocidae
Muraenesox cinereus,298,Teleostei,Anguilliformes,Muraenesocidae
Echidna nebulosa,5388,Teleostei,Anguilliformes,Muraenidae
Gymnothorax favagineus,5391,Teleostei,Anguilliformes,Muraenidae
Gymnothorax fimbriatus,6495,Teleostei,Anguilliformes,Muraenidae
Gymnothorax herrei,7491,Teleostei,Anguilliformes,Muraenidae
Gymnothorax isingteena,58603,Teleostei,Anguilliformes,Muraenidae
Gymnothorax javanicus,6380,Teleostei,Anguilliformes,Muraenidae
Gymnothorax monochrous,7285,Teleostei,Anguilliformes,Muraenidae
Gymnothorax pictus,6395,Teleostei,Anguilliformes,Muraenidae
Gymnothorax polyuranodon,17227,Teleostei,Anguilliformes,Muraenidae
Gymnothorax punctatofasciatus,27341,Teleostei,Anguilliformes,Muraenidae
Gymnothorax thyrsoideus,8252,Teleostei,Anguilliformes,Muraenidae
Gymnothorax tile,17266,Teleostei,Anguilliformes,Muraenidae
Gymnothorax undulatus,4905,Teleostei,Anguilliformes,Muraenidae
Strophidon dorsalis,58586,Teleostei,Anguilliformes,Muraenidae
Diaphus dahlgreni,59136,Teleostei,Myctophiformes,Myctophidae
Aetomylaeus maculatus,12594,Elasmobranchii,Myliobatiformes,Myliobatidae
Aetomylaeus milvus,12597,Elasmobranchii,Myliobatiformes,Myliobatidae
Aetomylaeus nichofii,10120,Elasmobranchii,Myliobatiformes,Myliobatidae
Aetomylaeus vespertilio,12599,Elasmobranchii,Myliobatiformes,Myliobatidae
Nandus nandus,10260,Teleostei,Anabantiformes,Nandidae
Nandus nebulosus,12368,Teleostei,Anabantiformes,Nandidae
Nandus prolixus,62886,Teleostei,Anabantiformes,Nandidae
Narcine brunnea,15444,Elasmobranchii,Torpediniformes,Narcinidae
Narcine maculata,53950,Elasmobranchii,Torpediniformes,Narcinidae
Narcine timlei,8206,Elasmobranchii,Torpediniformes,Narcinidae
Narke dipterygia,13689,Elasmobranchii,Torpediniformes,Narkidae
Temera hardwickii,8400,Elasmobranchii,Torpediniformes,Narkidae
Nemacheilus elegantissimus,27464,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus kapuasensis,22974,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus longipectoralis,22978,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus masyae,12268,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus olivaceus,5428,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus paucimaculatus,66268,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus saravacensis,22981,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus selangoricus,12270,Teleostei,Cypriniformes,Nemacheilidae
Nemacheilus spiniferus,22982,Teleostei,Cypriniformes,Nemacheilidae
Paracanthocobitis phuketensis,68820,Teleostei,Cypriniformes,Nemacheilidae
Schistura balteata,26884,Teleostei,Cypriniformes,Nemacheilidae
Schistura desmotes,26888,Teleostei,Cypriniformes,Nemacheilidae
Speonectes tiomanensis,6167,Teleostei,Cypriniformes,Nemacheilidae
Sundoreonectes sabanus,56161,Teleostei,Cypriniformes,Nemacheilidae
Tuberoschistura baenzigeri,56162,Teleostei,Cypriniformes,Nemacheilidae
Nemipterus aurora,15162,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus balinensoides,5847,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus bathybius,4564,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus bipunctatus,5851,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus furcosus,5843,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus hexodon,4565,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus isacanthus,5850,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus japonicus,4559,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus marginatus,4566,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus nematophorus,4558,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus nematopus,5415,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus nemurus,4568,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus peronii,4554,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus tambuloides,5844,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus thosaporni,5414,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus virgatus,396,Teleostei,Eupercaria/misc,Nemipteridae
Nemipterus zysron,5855,Teleostei,Eupercaria/misc,Nemipteridae
Parascolopsis aspinosa,5856,Teleostei,Eupercaria/misc,Nemipteridae
Parascolopsis inermis,5860,Teleostei,Eupercaria/misc,Nemipteridae
Parascolopsis melanophrys,47216,Teleostei,Eupercaria/misc,Nemipteridae
Parascolopsis tosensis,5864,Teleostei,Eupercaria/misc,Nemipteridae
Pentapodus aureofasciatus,60801,Teleostei,Eupercaria/misc,Nemipteridae
Pentapodus bifasciatus,5865,Teleostei,Eupercaria/misc,Nemipteridae
Pentapodus caninus,5867,Teleostei,Eupercaria/misc,Nemipteridae
Pentapodus emeryii,5868,Teleostei,Eupercaria/misc,Nemipteridae
Pentapodus nagasakiensis,5869,Teleostei,Eupercaria/misc,Nemipteridae
Pentapodus setosus,5872,Teleostei,Eupercaria/misc,Nemipteridae
Pentapodus trivittatus,5873,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis affinis,5890,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis aurata,5884,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis bilineata,5885,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis ciliata,5876,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis japonica,70505,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis lineata,5877,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis margaritifera,5878,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis monogramma,5879,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis taenioptera,5875,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis trilineata,5881,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis vosmeri,5883,Teleostei,Eupercaria/misc,Nemipteridae
Scolopsis xenochrous,5882,Teleostei,Eupercaria/misc,Nemipteridae
Saurenchelys fierasfer,8292,Teleostei,Anguilliformes,Nettastomatidae
Psenes cyanophrys,3925,Teleostei,Scombriformes,Nomeidae
Chitala borneensis,62903,Teleostei,Osteoglossiformes,Notopteridae
Chitala chitala,2078,Teleostei,Osteoglossiformes,Notopteridae
Chitala lopis,8765,Teleostei,Osteoglossiformes,Notopteridae
Notopterus notopterus,7990,Teleostei,Osteoglossiformes,Notopteridae
Halieutaea fumosa,8179,Teleostei,Lophiiformes,Ogcocephalidae
Oneirodes melanocauda,59127,Teleostei,Lophiiformes,Oneirodidae
Ophichthus altipennis,53849,Teleostei,Anguilliformes,Ophichthidae
Ophichthus cephalozona,7291,Teleostei,Anguilliformes,Ophichthidae
Ophichthus grandoculis,53891,Teleostei,Anguilliformes,Ophichthidae
Ophichthus rutidoderma,27038,Teleostei,Anguilliformes,Ophichthidae
Pisodonophis cancrivorus,8054,Teleostei,Anguilliformes,Ophichthidae
Brotula multibarbata,7297,Teleostei,Ophidiiformes,Ophidiidae
Sirembo imberbis,8193,Teleostei,Ophidiiformes,Ophidiidae
Sirembo quinquefasciatus,71723,Teleostei,Ophidiiformes,Ophidiidae
Opistognathus castelnaui,10356,Teleostei,Ovalentaria/misc,Opistognathidae
Opistognathus dendriticus,59041,Teleostei,Ovalentaria/misc,Opistognathidae
Opistognathus nigromarginatus,16913,Teleostei,Ovalentaria/misc,Opistognathidae
Opistognathus randalli,65634,Teleostei,Ovalentaria/misc,Opistognathidae
Oplegnathus punctatus,6538,Teleostei,Centrarchiformes,Oplegnathidae
Orectolobus leptolineatus,65548,Elasmobranchii,Orectolobiformes,Orectolobidae
Belontia hasselti,12032,Teleostei,Anabantiformes,Osphronemidae
Betta akarensis,12033,Teleostei,Anabantiformes,Osphronemidae
Betta balunga,52329,Teleostei,Anabantiformes,Osphronemidae
Betta bellica,12035,Teleostei,Anabantiformes,Osphronemidae
Betta brownorum,25131,Teleostei,Anabantiformes,Osphronemidae
Betta chini,25856,Teleostei,Anabantiformes,Osphronemidae
Betta coccina,25132,Teleostei,Anabantiformes,Osphronemidae
Betta gladiator,62602,Teleostei,Anabantiformes,Osphronemidae
Betta hipposideros,27197,Teleostei,Anabantiformes,Osphronemidae
Betta ibanorum,62207,Teleostei,Anabantiformes,Osphronemidae
Betta imbellis,12038,Teleostei,Anabantiformes,Osphronemidae
Betta kuehnei,65156,Teleostei,Anabantiformes,Osphronemidae
Betta lehi,62601,Teleostei,Anabantiformes,Osphronemidae
Betta livida,27252,Teleostei,Anabantiformes,Osphronemidae
Betta macrostoma,12039,Teleostei,Anabantiformes,Osphronemidae
Betta nuluhon,70587,Teleostei,Anabantiformes,Osphronemidae
Betta ocellata,56315,Teleostei,Anabantiformes,Osphronemidae
Betta omega,69879,Teleostei,Anabantiformes,Osphronemidae
Betta persephone,52394,Teleostei,Anabantiformes,Osphronemidae
Betta pi,52524,Teleostei,Anabantiformes,Osphronemidae
Betta picta,12040,Teleostei,Anabantiformes,Osphronemidae
Betta pugnax,12042,Teleostei,Anabantiformes,Osphronemidae
Betta pulchra,27259,Teleostei,Anabantiformes,Osphronemidae
Betta splendens,4768,Teleostei,Anabantiformes,Osphronemidae
Betta stigmosa,62600,Teleostei,Anabantiformes,Osphronemidae
Betta taeniata,12048,Teleostei,Anabantiformes,Osphronemidae
Betta tomi,27198,Teleostei,Anabantiformes,Osphronemidae
Betta tussyae,52395,Teleostei,Anabantiformes,Osphronemidae
Betta waseri,25135,Teleostei,Anabantiformes,Osphronemidae
Luciocephalus pulcher,4503,Teleostei,Anabantiformes,Osphronemidae
Macropodus opercularis,4777,Teleostei,Anabantiformes,Osphronemidae
Osphronemus goramy,498,Teleostei,Anabantiformes,Osphronemidae
Osphronemus laticlavius,16572,Teleostei,Anabantiformes,Osphronemidae
Osphronemus septemfasciatus,25130,Teleostei,Anabantiformes,Osphronemidae
Parosphromenus alfredi,62568,Teleostei,Anabantiformes,Osphronemidae
Parosphromenus allani,25191,Teleostei,Anabantiformes,Osphronemidae
Parosphromenus harveyi,57461,Teleostei,Anabantiformes,Osphronemidae
Parosphromenus nagyi,15895,Teleostei,Anabantiformes,Osphronemidae
Parosphromenus paludicola,15898,Teleostei,Anabantiformes,Osphronemidae
Parosphromenus rubrimontis,62572,Teleostei,Anabantiformes,Osphronemidae
Parosphromenus tweediei,62573,Teleostei,Anabantiformes,Osphronemidae
Pseudosphromenus cupanus,11228,Teleostei,Anabantiformes,Osphronemidae
Sphaerichthys osphromenoides,11235,Teleostei,Anabantiformes,Osphronemidae
Trichopodus cantoris,66131,Teleostei,Anabantiformes,Osphronemidae
Trichopodus leerii,4674,Teleostei,Anabantiformes,Osphronemidae
Trichopodus pectoralis,499,Teleostei,Anabantiformes,Osphronemidae
Trichopodus trichopterus,4675,Teleostei,Anabantiformes,Osphronemidae
Trichopsis vittata,4728,Teleostei,Anabantiformes,Osphronemidae
Scleropages formosus,6357,Teleostei,Osteoglossiformes,Osteoglossidae
Lactoria cornuta,6399,Teleostei,Tetraodontiformes,Ostraciidae
Ostracion cubicum,6555,Teleostei,Tetraodontiformes,Ostraciidae
Ostracion nasus,8192,Teleostei,Tetraodontiformes,Ostraciidae
Ostracion rhinorhynchos,8288,Teleostei,Tetraodontiformes,Ostraciidae
Tetrosomus concatenatus,8060,Teleostei,Tetraodontiformes,Ostraciidae
Tetrosomus gibbosus,8129,Teleostei,Tetraodontiformes,Ostraciidae
Boleophthalmus boddarti,4901,Teleostei,Gobiiformes,Oxudercidae
Oxuderces dentatus,15823,Teleostei,Gobiiformes,Oxudercidae
Parapocryptes serperaster,25082,Teleostei,Gobiiformes,Oxudercidae
Periophthalmodon schlosseri,8414,Teleostei,Gobiiformes,Oxudercidae
Periophthalmus argentilineatus,7480,Teleostei,Gobiiformes,Oxudercidae
Periophthalmus gracilis,7481,Teleostei,Gobiiformes,Oxudercidae
Periophthalmus minutus,7485,Teleostei,Gobiiformes,Oxudercidae
Periophthalmus novemradiatus,7486,Teleostei,Gobiiformes,Oxudercidae
Periophthalmus variabilis,65362,Teleostei,Gobiiformes,Oxudercidae
Pseudapocryptes borneensis,25086,Teleostei,Gobiiformes,Oxudercidae
Pseudapocryptes elongatus,8409,Teleostei,Gobiiformes,Oxudercidae
Scartelaos histophorus,7487,Teleostei,Gobiiformes,Oxudercidae
Paedocypris micromegethes,62549,Teleostei,Cypriniformes,Paedocyprididae
Pangasius djambal,14145,Teleostei,Siluriformes,Pangasiidae
Pangasius kinabatanganensis,14177,Teleostei,Siluriformes,Pangasiidae
Pangasius kunyit,55541,Teleostei,Siluriformes,Pangasiidae
Pangasius nasutus,14202,Teleostei,Siluriformes,Pangasiidae
Pangasius pangasius,292,Teleostei,Siluriformes,Pangasiidae
Pangasius polyuranodon,14215,Teleostei,Siluriformes,Pangasiidae
Pangasius sabahensis,61583,Teleostei,Siluriformes,Pangasiidae
Pseudolais micronemus,12001,Teleostei,Siluriformes,Pangasiidae
Pseudorhombus argus,8283,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus arsius,1325,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus cinnamoneus,4576,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus diplospilus,10973,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus elevatus,1333,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus javanicus,1335,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus malayanus,1368,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus natalensis,1376,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus neglectus,10588,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus pentophthalmus,8835,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus quinquocellatus,8284,Teleostei,Pleuronectiformes,Paralichthyidae
Pseudorhombus triocellatus,1377,Teleostei,Pleuronectiformes,Paralichthyidae
Cyttopsis rosea,4953,Teleostei,Zeiformes,Parazenidae
Pegasus volitans,4609,Teleostei,Dactylopteriformes,Pegasidae
Pempheris adusta,25447,Teleostei,Acropomatiformes,Pempheridae
Pempheris molucca,8189,Teleostei,Acropomatiformes,Pempheridae
Histiopterus typus,7892,Teleostei,Acropomatiformes,Pentacerotidae
Apristurus platyrhynchus,778,Elasmobranchii,Carcharhiniformes,Pentanchidae
Galeus eastmani,806,Elasmobranchii,Carcharhiniformes,Pentanchidae
Gargariscus prionocephalus,8249,Teleostei,Perciformes/Scorpaenoidei,Peristediidae
Satyrichthys laticeps,67039,Teleostei,Perciformes/Scorpaenoidei,Peristediidae
Satyrichthys rieffeli,8291,Teleostei,Perciformes/Scorpaenoidei,Peristediidae
Neostethus bicornis,24782,Teleostei,Atheriniformes,Phallostethidae
Neostethus borneensis,24784,Teleostei,Atheriniformes,Phallostethidae
Neostethus lankesteri,24785,Teleostei,Atheriniformes,Phallostethidae
Phallostethus dunckeri,6292,Teleostei,Atheriniformes,Phallostethidae
Phallostethus lehi,26962,Teleostei,Atheriniformes,Phallostethidae
Phenacostethus posthon,24786,Teleostei,Atheriniformes,Phallostethidae
Phenacostethus smithi,26790,Teleostei,Atheriniformes,Phallostethidae
Phenacostethus trewavasae,24787,Teleostei,Atheriniformes,Phallostethidae
Pholidichthys leucotaenia,4433,Teleostei,Cichliformes,Pholidichthyidae
Parapercis alboguttata,8188,Teleostei,Perciformes/Uranoscopoidei,Pinguipedidae
Parapercis filamentosa,8407,Teleostei,Perciformes/Uranoscopoidei,Pinguipedidae
Parapercis macrophthalma,10867,Teleostei,Perciformes/Uranoscopoidei,Pinguipedidae
Parapercis pacifica,64230,Teleostei,Perciformes/Uranoscopoidei,Pinguipedidae
Parapercis snyderi,13522,Teleostei,Perciformes/Uranoscopoidei,Pinguipedidae
Parapercis xanthozona,12668,Teleostei,Perciformes/Uranoscopoidei,Pinguipedidae
Ryukyupercis gushikeni,8268,Teleostei,Perciformes/Uranoscopoidei,Pinguipedidae
Cociella crocodilus,7895,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Cociella punctata,15197,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Cymbacephalus beauforti,12826,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Cymbacephalus bosschei,12564,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Cymbacephalus nematophthalmus,10776,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Elates ransonnettii,6637,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Grammoplites knappi,15208,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Grammoplites scaber,10309,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Inegocia japonica,10335,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Insidiator macracanthus,10336,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Kumococius rodericensis,8469,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Platycephalus indicus,950,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Ratabulus tuberculatus,10310,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Rogadius asper,8305,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Rogadius azizahae,71285,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Rogadius pristiger,15225,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Sorsogona nigripinna,46371,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Sunagocia arenicola,12901,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Sunagocia carbunculus,15241,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Thysanophrys chiltonae,12902,Teleostei,Perciformes/Scorpaenoidei,Platycephalidae
Plesiobatis daviesi,7376,Elasmobranchii,Myliobatiformes,Plesiobatidae
Plesiops coeruleolineatus,8005,Teleostei,Ovalentaria/misc,Plesiopidae
Paraplotosus albilabris,12097,Teleostei,Siluriformes,Plotosidae
Plotosus abbreviatus,61302,Teleostei,Siluriformes,Plotosidae
Plotosus canius,8167,Teleostei,Siluriformes,Plotosidae
Plotosus lineatus,4706,Teleostei,Siluriformes,Plotosidae
Gambusia affinis,3215,Teleostei,Cyprinodontiformes,Poeciliidae
Poecilia reticulata,3228,Teleostei,Cyprinodontiformes,Poeciliidae
Eleutheronema tetradactylum,340,Teleostei,Carangaria/misc,Polynemidae
Eleutheronema tridactylum,14514,Teleostei,Carangaria/misc,Polynemidae
Filimanus heptadactyla,13530,Teleostei,Carangaria/misc,Polynemidae
Filimanus xanthonema,10616,Teleostei,Carangaria/misc,Polynemidae
Leptomelanosoma indicum,4469,Teleostei,Carangaria/misc,Polynemidae
Polydactylus luparensis,65390,Teleostei,Carangaria/misc,Polynemidae
Polydactylus microstoma,10355,Teleostei,Carangaria/misc,Polynemidae
Polydactylus plebeius,7901,Teleostei,Carangaria/misc,Polynemidae
Polydactylus sextarius,4470,Teleostei,Carangaria/misc,Polynemidae
Polynemus dubius,14614,Teleostei,Carangaria/misc,Polynemidae
Polynemus hornadayi,14619,Teleostei,Carangaria/misc,Polynemidae
Polynemus melanochir,10617,Teleostei,Carangaria/misc,Polynemidae
Polynemus paradiseus,8318,Teleostei,Carangaria/misc,Polynemidae
Centropyge bicolor,5454,Teleostei,Acanthuriformes,Pomacanthidae
Centropyge bispinosa,5458,Teleostei,Acanthuriformes,Pomacanthidae
Centropyge colini,8773,Teleostei,Acanthuriformes,Pomacanthidae
Centropyge multifasciata,5666,Teleostei,Acanthuriformes,Pomacanthidae
Centropyge tibicen,6548,Teleostei,Acanthuriformes,Pomacanthidae
Centropyge vrolikii,5447,Teleostei,Acanthuriformes,Pomacanthidae
Chaetodontoplus mesoleucus,5660,Teleostei,Acanthuriformes,Pomacanthidae
Chaetodontoplus septentrionalis,11124,Teleostei,Acanthuriformes,Pomacanthidae
Genicanthus lamarck,6612,Teleostei,Acanthuriformes,Pomacanthidae
Genicanthus melanospilos,8710,Teleostei,Acanthuriformes,Pomacanthidae
Pomacanthus annularis,7902,Teleostei,Acanthuriformes,Pomacanthidae
Pomacanthus imperator,6504,Teleostei,Acanthuriformes,Pomacanthidae
Pomacanthus sexstriatus,6564,Teleostei,Acanthuriformes,Pomacanthidae
Pomacanthus xanthometopon,5662,Teleostei,Acanthuriformes,Pomacanthidae
Pygoplites diacanthus,6572,Teleostei,Acanthuriformes,Pomacanthidae
Abudefduf bengalensis,6517,Teleostei,Ovalentaria/misc,Pomacentridae
Abudefduf lorenzi,5685,Teleostei,Ovalentaria/misc,Pomacentridae
Abudefduf notatus,5686,Teleostei,Ovalentaria/misc,Pomacentridae
Abudefduf septemfasciatus,5687,Teleostei,Ovalentaria/misc,Pomacentridae
